Raj_Aviral22,2018-05-16 06:44:22,b'@SubashG48979166 @RahulGandhi \\u0906\\u0917\\u0947 \\u0932\\u0917\\u093e\\u0915\\u0930 \\u090a\\u092a\\u0930\\u0935\\u093e\\u0932\\u0947 \\u0928\\u0947 \\u092a\\u0948\\u0926\\u093e \\u0939\\u0940 \\u0928\\u0939\\u0940\\u0902 \\u0915\\u093f\\u092f\\u093e \\u0924\\u094b \\u092e\\u0947\\u0930\\u0940 \\u0915\\u094d\\u092f\\u093e \\u0917\\u0932\\u0924\\u0940'
BrijIndian,2018-05-16 06:44:23,b'RT @RenukaJain6: Joke of the day. Congress spokesperson says we will do anything to protect democracy.\\n\\nIrony died a million deaths. When p\\u2026'
ShoriNaveen,2018-05-16 06:44:24,b'RT @RenukaJain6: Joke of the day. Congress spokesperson says we will do anything to protect democracy.\\n\\nIrony died a million deaths. When p\\u2026'
whoopsoo,2018-05-16 06:44:24,"b""RT @ragarwal: @divyaspandana @AmitMalik_IND Errr - weren't you an actress? \\nAnd Dr MMS was RBI governor, installed first as FM then as PM?\\u2026"""
PKulk99,2018-05-16 06:44:25,b'@ShomaChaudhury @AyushyaKhanna @narendramodi @RahulGandhi @ShomaChaudhury we r not a society that asks questions. I\\u2026 https://t.co/H2KjOgvLOT'
KumudKantYadav1,2018-05-16 06:44:25,b'RT @sahuankita28: \\u0915\\u094d\\u092f\\u093e @myogiadityanath \\u091c\\u0940 #btc12460 \\u092d\\u0930\\u094d\\u0924\\u0940 \\u0915\\u0947 7000 \\u091c\\u093c\\u0940\\u0930\\u094b-\\u091c\\u0928\\u092a\\u0926 \\u091a\\u092f\\u0928\\u0940\\u0924\\u094b\\u0902 \\u0915\\u094b \\u0928\\u093f\\u092f\\u0941\\u0915\\u094d\\u0924\\u093f \\u0928\\u0939\\u0940\\u0902 \\u0926\\u0947\\u0928\\u093e \\u091a\\u093e\\u0939\\u0924\\u0947?\\n@PMOIndia @aajtak @ndtv\\u2026'
dr_baweja,2018-05-16 06:44:31,b'@Zee24Kalak @FalakThakkarr \\u0915\\u0930\\u094d\\u0928\\u093e\\u091f\\u0915\\u093e \\u092e\\u0947\\u0902 @BJP4India \\u0915\\u0940 \\u0939\\u093e\\u0932\\u0924 \\u0905\\u0921\\u0935\\u093e\\u0923\\u0940 \\u091c\\u0940 \\u091c\\u0948\\u0938\\u0940 \\u0939\\u094b \\u0917\\u0908 \\u0939\\u0948 \\n\\u092f\\u093e\\u0930 \\u0926\\u0917\\u093e \\u0926\\u0947 \\u0917\\u092f\\u093e\\n\\u0926\\u0941\\u0932\\u094d\\u0939\\u0928 \\u0915\\u094b \\u091c\\u0947\\u0921\\u0940\\u090f\\u0938\\u2026 https://t.co/peWhdVjdyV'
Sanjaygautamhsr,2018-05-16 06:44:32,b'RT @mohit_hissar: @OneHaryanaOffcl @HaryanaTweets @HaryanaNewsline @Haryanavision @RahulGandhi @INCIndia @bishnoikuldeep @INCSandesh @ashok\\u2026'
PrateekBaweja1,2018-05-16 06:44:45,b'@inquestioner @LohaAnita @RahulGandhi @siddaramaiah Now Democracy is not in danger? And when BJP did this in other\\u2026 https://t.co/2xOS5AM80s'
mrchhimpa,2018-05-16 06:44:47,"b'#\\u0915\\u0930\\u094d\\u0928\\u093e\\u091f\\u0915 \\u091a\\u0941\\u0928\\u093e\\u0935 - \\u0915\\u093e\\u0902\\u0917\\u094d\\u0930\\u0947\\u0938, \\u091c\\u0947\\u0921\\u0940\\u090f\\u0938 \\u0914\\u0930 \\u0928\\u093f\\u0930\\u094d\\u0926\\u0932\\u0940\\u092f \\u0938\\u092c \\u0916\\u0941\\u0932\\u0947 \\u0906\\u092e \\u090f\\u0915 \\u0924\\u0930\\u092b \\u0914\\u0930 \\u092c\\u0940\\u091c\\u0947\\u092a\\u0940 \\u090f\\u0915 \\u0924\\u0930\\u092b, \\u092b\\u093f\\u0930 \\u092d\\u0940 \\u092c\\u0940\\u091c\\u0947\\u092a\\u0940 \\u0915\\u0940 \\u0938\\u0930\\u0915\\u093e\\u0930 \\u092c\\u0928\\u093e\\u0928\\u0947 \\u0915\\u0940\\u2026 https://t.co/cflJlQ8ibH'"
