sonju24,2018-05-13 13:15:10,b'RT @VivekSri027: @shubhada1234 @gops333 @DrSanjeevRajp4 @youngroy25 @RathiSoma @INCIndia \\u0915\\u0940 \\u092c\\u094b\\u0916\\u0932\\u093e\\u0939\\u091f \\u0926\\u093f\\u0916 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0906\\u092a\\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u0947 \\u0936\\u092c\\u094d\\u0926\\u094b\\u0902 \\u092e\\u0947\\u0902 \\u0914\\u0930 \\u0909\\u0927\\u0930\\u2026'
sreerajeshn,2018-05-13 13:15:11,"b'RT @muglikar_: This is a fit case for us to demand complete shut down of Mainstream Media. When there was 0 evidence of Church vandalism, 0\\u2026'"
RohitMi62034683,2018-05-13 13:15:13,b'RT @DDNewsHindi: \\u0928\\u0947\\u092a\\u093e\\u0932 \\u0915\\u0940 2 \\u0926\\u093f\\u0928 \\u0915\\u0940 \\u0938\\u092b\\u0932 \\u092f\\u093e\\u0924\\u094d\\u0930\\u093e \\u0915\\u0947 \\u092c\\u093e\\u0926 \\u092a\\u094d\\u0930\\u0927\\u093e\\u0928\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 @narendramodi \\u0938\\u094d\\u0935\\u0926\\u0947\\u0936 \\u092a\\u0939\\u0941\\u0902\\u091a\\u0947 https://t.co/nzoge2uniG'
AmarChandra2097,2018-05-13 13:15:14,b'RT @AjayKushwaha_: \\u092e\\u093e\\u0901 \\u0915\\u0947 \\u091a\\u0930\\u0923\\u094b \\u092e\\u0947 \\u0907\\u0924\\u0928\\u093e \\u091c\\u093e\\u0926\\u0942 \\u0939\\u0948 \\u0915\\u093f \\u091c\\u093f\\u0924\\u0928\\u093e \\u0939\\u0940 \\u092e\\u093e\\u0901 \\u0915\\u0947 \\u091a\\u0930\\u0923\\u094b\\u0902 \\u092e\\u0947 \\u091d\\u0941\\u0915\\u0924\\u093e \\u0939\\u0942\\u0901 \\u0909\\u0924\\u0928\\u093e \\u0939\\u0940 \\u0906\\u0917\\u0947 \\u091c\\u093e\\u0924\\u093e \\u0939\\u0942\\u0901:PM \\u0936\\u094d\\u0930\\u0940 @narendramodi \\u091c\\u0940\\n\\u0906\\u092a \\u0927\\u0928\\u094d\\u092f\\u2026'
Kumarbibhuti3,2018-05-13 13:15:14,b'@PiyushGoyal @narendramodi \\u0908\\u0938\\u0915\\u093e \\u092a\\u094d\\u0930\\u092e\\u093e\\u0923 \\u0906\\u091c \\u0926\\u0947\\u0916\\u0928\\u0947 \\u0915\\u093e \\u0905\\u0935\\u0938\\u0930 \\u092a\\u094d\\u0930\\u093e\\u092a\\u094d\\u0924 \\u0939\\u0941\\u0906 130km \\u092e\\u0947 https://t.co/2GFy2FXgsm'
Counter_Part_X,2018-05-13 13:15:15,"b""RT @koenamitra: Dear @HMOIndia @narendramodi Can you please help WB. People are dying everyday, kids aren't spared either, west Bengal is b\\u2026"""
Durgesh64624479,2018-05-13 13:15:15,b'RT @RampartapD: \\u092b\\u094b\\u0928 \\u092a\\u0930 \\u0924\\u094b \\u0932\\u094b\\u0917 \\u0928\\u093f\\u0917\\u093e\\u0939\\u0947 \\u0921\\u093e\\u0902te\\u092c\\u0948\\u0920\\u0947 \\u0939\\u0948\\u0902 \\u0914\\u0930 \\u092c\\u0924\\u093e\\u0924\\u0947 \\u0930\\u0939\\u0924\\u0947 \\u0939\\u0948\\u0902 6 \\u0926\\u093f\\u0928 \\u091a\\u0932\\u0947 \\u0917\\u090f \\u0915\\u092d\\u0940 \\u0907\\u0938 \\u0928\\u093f\\u0930\\u094d\\u092e\\u0932 \\u0938\\u092e\\u093e\\u091c \\u0915\\u0947 \\u0932\\u093f\\u090f \\u092d\\u0940 \\u0915\\u0926\\u092e \\u0909\\u0920\\u093e\\u092f\\u093e\\u091c\\u093e\\u090f\\n#WarAgainstDowr\\u2026'
SanchitaGoswam9,2018-05-13 13:15:16,b'RT @pkban: I request every Indian must watch this video 2 know about GST &amp; Demonization.This is a lesson 2 oppositions who criticized @nare\\u2026'
shankershambhu,2018-05-13 13:15:16,b'RT @DrGPradhan: Important observation\\n\\nMaximum voting in #KarnatakaElection2018 happened in RURAL Karnataka. That explains my prediction th\\u2026'
AmbeshKumarTha3,2018-05-13 13:15:17,b'RT @GopalJeeThakur2: #ModiBoleJaiSiyaRam\\n\\u091c\\u0928\\u0915 \\u0928\\u0902\\u0926\\u0928\\u0940 \\u092e\\u093e\\u0901 #\\u091c\\u093e\\u0928\\u0915\\u0940 \\u0915\\u0940 \\u0927\\u0930\\u0924\\u0940 #\\u091c\\u0928\\u0915\\u092a\\u0941\\u0930 \\u092e\\u0947\\u0902 \\u0906\\u0926\\u0930\\u0923\\u0940\\u092f \\u092a\\u094d\\u0930\\u0927\\u093e\\u0928\\u092e\\u0902\\u0924\\u094d\\u0930\\u0940 \\u0936\\u094d\\u0930\\u0940 @narendramodi \\u091c\\u0940 \\u0915\\u093e \\u0938\\u092e\\u0938\\u094d\\u0924 #\\u092e\\u093f\\u0925\\u093f\\u2026'
